medicamento_a_id,medicamento_a_nome,medicamento_b_id,medicamento_b_nome,classificacao_fallback,fonte_fallback,data_fonte_fallback,observacoes_fallback,acao_sugerida,comentario_revisao_clinica
metotrexato_sodico,Metotrexato (Sódico),piperacilina_sodica_tazobactam,Piperacilina (Sódica) + Tazobactam,compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
midazolam_cloridrato,Midazolam (Cloridrato),morfina_sulfato,Morfina (Sulfato),compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
midazolam_cloridrato,Midazolam (Cloridrato),omeprazol_sodico,Omeprazol (Sódico),incompativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
morfina_sulfato,Morfina (Sulfato),noradrenalina_bitartarato,Noradrenalina (Bitartarato),compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
morfina_sulfato,Morfina (Sulfato),piperacilina_sodica,Piperacilina (Sódica),compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
morfina_sulfato,Morfina (Sulfato),piperacilina_sodica_tazobactam,Piperacilina (Sódica) + Tazobactam,compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
morfina_sulfato,Morfina (Sulfato),propofol,Propofol,variavel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
morfina_sulfato,Morfina (Sulfato),remifentanil_cloridrato,Remifentanil (Cloridrato),compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
morfina_sulfato,Morfina (Sulfato),tacrolimus,Tacrolimus,compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
morfina_sulfato,Morfina (Sulfato),vancomicina_cloridrato,Vancomicina (Cloridrato),compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
piperacilina_sodica_tazobactam,Piperacilina (Sódica) + Tazobactam,remifentanil_cloridrato,Remifentanil (Cloridrato),compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
piperacilina_sodica_tazobactam,Piperacilina (Sódica) + Tazobactam,vasopressina,Vasopressina,compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
